generator_name,seed,dataset_size,train_size,validation_size,test_size,elapsed_seconds
numpy_pcg64,1016,34874,24411,5232,5231,0.005202041999998741
numpy_pcg64,1017,34874,24411,5232,5231,0.005232582999999735
numpy_pcg64,1018,34874,24411,5232,5231,0.005202540999999172
numpy_pcg64,1019,34874,24411,5232,5231,0.0052022080000000415
numpy_pcg64,1020,34874,24411,5232,5231,0.005184458000000447
numpy_pcg64,1021,34874,24411,5232,5231,0.005200250000001461
numpy_pcg64,1022,34874,24411,5232,5231,0.005191874999999513
numpy_pcg64,1023,34874,24411,5232,5231,0.005192583999999556
numpy_pcg64,1024,34874,24411,5232,5231,0.005238416999999274
numpy_pcg64,1025,34874,24411,5232,5231,0.005228457999999492
numpy_pcg64,1026,34874,24411,5232,5231,0.0052108339999996645
numpy_pcg64,1027,34874,24411,5232,5231,0.005195290999999713
numpy_pcg64,1028,34874,24411,5232,5231,0.0051870410000010025
numpy_pcg64,1029,34874,24411,5232,5231,0.005214417000001248
numpy_mt19937,1000,34874,24411,5232,5231,0.00538904099999904
numpy_mt19937,1001,34874,24411,5232,5231,0.005363875000000462
numpy_mt19937,1002,34874,24411,5232,5231,0.005368167000000312
numpy_mt19937,1003,34874,24411,5232,5231,0.005346790999999129
numpy_mt19937,1004,34874,24411,5232,5231,0.00537837499999938
numpy_mt19937,1005,34874,24411,5232,5231,0.005363334000000108
numpy_mt19937,1006,34874,24411,5232,5231,0.005395417000000791
numpy_mt19937,1007,34874,24411,5232,5231,0.005356042000000727
numpy_mt19937,1008,34874,24411,5232,5231,0.005381333999999072
numpy_mt19937,1009,34874,24411,5232,5231,0.00538199999999911
numpy_mt19937,1010,34874,24411,5232,5231,0.005376500000000561
numpy_mt19937,1011,34874,24411,5232,5231,0.00540716600000124
numpy_mt19937,1012,34874,24411,5232,5231,0.0053823340000001
numpy_mt19937,1013,34874,24411,5232,5231,0.005358290999998516
numpy_mt19937,1014,34874,24411,5232,5231,0.005503917000000413
numpy_mt19937,1015,34874,24411,5232,5231,0.005543875000000753
numpy_mt19937,1016,34874,24411,5232,5231,0.005370415999999878
numpy_mt19937,1017,34874,24411,5232,5231,0.00534854100000004
numpy_mt19937,1018,34874,24411,5232,5231,0.0053542079999999714
numpy_mt19937,1019,34874,24411,5232,5231,0.0053761670000014306
numpy_mt19937,1020,34874,24411,5232,5231,0.005335500000001048
numpy_mt19937,1021,34874,24411,5232,5231,0.005814959000000286
numpy_mt19937,1022,34874,24411,5232,5231,0.005364291999999438
numpy_mt19937,1023,34874,24411,5232,5231,0.005365875000000742
numpy_mt19937,1024,34874,24411,5232,5231,0.0053611250000003
numpy_mt19937,1025,34874,24411,5232,5231,0.0053492090000002435
numpy_mt19937,1026,34874,24411,5232,5231,0.005345166000001456
numpy_mt19937,1027,34874,24411,5232,5231,0.005347000000000435
numpy_mt19937,1028,34874,24411,5232,5231,0.005348665999999724
numpy_mt19937,1029,34874,24411,5232,5231,0.005355542000000213
